epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,706.885,1.52142,1.42583,1.05792,0.49241,0.27198,0.26785,0.14422,1.42679,0.97898,1.00271,0.00333295,0.00333295,0.00333295
2,1376.14,1.47153,1.08981,1.03535,0.42904,0.31181,0.31155,0.16733,1.38328,0.8976,0.99195,0.00660029,0.00660029,0.00660029
3,2036.81,1.47826,1.03712,1.04012,0.44196,0.32078,0.32521,0.17613,1.37,0.86414,0.99148,0.00980163,0.00980163,0.00980163
4,2694.12,1.46657,0.99889,1.03758,0.57195,0.33831,0.35002,0.18879,1.35116,0.83032,0.9842,0.009703,0.009703,0.009703
5,3349.06,1.43181,0.95233,1.0251,0.4771,0.35369,0.36381,0.19819,1.33501,0.80729,0.97834,0.009604,0.009604,0.009604
6,4004.18,1.40935,0.92539,1.017,0.49111,0.3571,0.37482,0.20421,1.32356,0.79227,0.97415,0.009505,0.009505,0.009505
7,4659.46,1.39764,0.90934,1.01181,0.50617,0.36547,0.38709,0.21139,1.3161,0.78157,0.97081,0.009406,0.009406,0.009406
8,5315.05,1.38854,0.89736,1.00837,0.50264,0.37522,0.3932,0.21519,1.31058,0.77397,0.96821,0.009307,0.009307,0.009307
9,5974.04,1.38167,0.88808,1.00549,0.51332,0.37165,0.39662,0.21803,1.30561,0.76856,0.96659,0.009208,0.009208,0.009208
10,6629.64,1.37629,0.88226,1.00337,0.61576,0.37825,0.40149,0.22033,1.30222,0.7643,0.96527,0.009109,0.009109,0.009109
11,7284.48,1.37002,0.8764,1.00137,0.62592,0.37627,0.40363,0.22159,1.29924,0.76079,0.96385,0.00901,0.00901,0.00901
12,7941.01,1.3662,0.87091,0.9996,0.62135,0.37921,0.40609,0.22328,1.29724,0.75821,0.96304,0.008911,0.008911,0.008911
13,8596.98,1.36125,0.8645,0.99741,0.62892,0.37848,0.40793,0.22502,1.29551,0.75624,0.96229,0.008812,0.008812,0.008812
14,9253.8,1.35727,0.86114,0.99604,0.62545,0.38016,0.40983,0.22598,1.29399,0.75425,0.96156,0.008713,0.008713,0.008713
15,9911.26,1.35483,0.85814,0.99456,0.62057,0.38329,0.41081,0.22668,1.29253,0.75271,0.96093,0.008614,0.008614,0.008614
16,10567.5,1.35327,0.85494,0.99408,0.62273,0.38468,0.41236,0.22765,1.29121,0.75105,0.96028,0.008515,0.008515,0.008515
17,11223.4,1.35054,0.85286,0.99282,0.62751,0.38466,0.41356,0.22852,1.28995,0.74971,0.9597,0.008416,0.008416,0.008416
18,11879.6,1.34757,0.84941,0.99156,0.62714,0.38732,0.41502,0.22934,1.28898,0.74835,0.95915,0.008317,0.008317,0.008317
19,12536.7,1.34577,0.84665,0.99031,0.62839,0.38889,0.4163,0.2303,1.28808,0.74712,0.95858,0.008218,0.008218,0.008218
20,13192.5,1.34528,0.84583,0.99097,0.63123,0.38676,0.41701,0.2309,1.28699,0.74621,0.95805,0.008119,0.008119,0.008119
21,13848.1,1.34493,0.84495,0.99074,0.63567,0.38652,0.41824,0.23186,1.2861,0.74529,0.95758,0.00802,0.00802,0.00802
22,14504.9,1.34212,0.8407,0.98931,0.63918,0.38599,0.41864,0.23207,1.28528,0.74405,0.95719,0.007921,0.007921,0.007921
23,15161.9,1.33876,0.83867,0.98795,0.64082,0.38615,0.42005,0.23301,1.28451,0.74313,0.95672,0.007822,0.007822,0.007822
24,15817.7,1.33882,0.83953,0.98833,0.64199,0.38822,0.42112,0.23347,1.28354,0.74211,0.95619,0.007723,0.007723,0.007723
25,16472.3,1.3359,0.83476,0.98681,0.64352,0.38759,0.42231,0.2341,1.28252,0.74099,0.95558,0.007624,0.007624,0.007624
26,17129.1,1.33597,0.83463,0.98763,0.64032,0.38955,0.42305,0.23489,1.28156,0.74001,0.95502,0.007525,0.007525,0.007525
27,17785.8,1.33439,0.83293,0.98542,0.64473,0.38889,0.4237,0.2358,1.28074,0.73888,0.95442,0.007426,0.007426,0.007426
28,18442.3,1.33321,0.83123,0.9851,0.64126,0.39109,0.42462,0.23609,1.28005,0.73793,0.95396,0.007327,0.007327,0.007327
29,19098.4,1.33233,0.83034,0.98581,0.64736,0.38999,0.42586,0.23655,1.27933,0.7369,0.95368,0.007228,0.007228,0.007228
30,19754,1.33008,0.82908,0.98473,0.64844,0.39122,0.42727,0.23732,1.27855,0.73592,0.95323,0.007129,0.007129,0.007129
31,20409.2,1.33112,0.82906,0.98466,0.64764,0.39271,0.42808,0.23771,1.27775,0.73486,0.95276,0.00703,0.00703,0.00703
32,21065.8,1.32845,0.82583,0.98341,0.65179,0.39244,0.42906,0.23802,1.27709,0.73394,0.9524,0.006931,0.006931,0.006931
33,21720.4,1.32723,0.82415,0.98376,0.6518,0.39256,0.42996,0.23873,1.27628,0.73297,0.95202,0.006832,0.006832,0.006832
34,22377.1,1.32558,0.82323,0.98313,0.65255,0.39205,0.43042,0.23915,1.27565,0.73207,0.9517,0.006733,0.006733,0.006733
35,23033,1.3242,0.82208,0.98192,0.65017,0.39375,0.43126,0.23971,1.27477,0.73118,0.95124,0.006634,0.006634,0.006634
36,23689,1.32441,0.82184,0.98198,0.65221,0.39355,0.43172,0.24001,1.27409,0.73028,0.95078,0.006535,0.006535,0.006535
37,24345.2,1.32349,0.82102,0.98143,0.65016,0.39501,0.4323,0.2406,1.27349,0.72962,0.95045,0.006436,0.006436,0.006436
38,25000.9,1.32195,0.81869,0.9804,0.6544,0.39457,0.43268,0.24089,1.27297,0.72884,0.9501,0.006337,0.006337,0.006337
39,25656.7,1.32158,0.81785,0.98008,0.65416,0.39571,0.43369,0.24158,1.27256,0.72799,0.94969,0.006238,0.006238,0.006238
40,26313.3,1.3211,0.81742,0.98068,0.65673,0.39553,0.4344,0.24174,1.27211,0.72712,0.94946,0.006139,0.006139,0.006139
41,26968.2,1.3195,0.81562,0.9801,0.65807,0.39432,0.43482,0.24208,1.27152,0.72631,0.94921,0.00604,0.00604,0.00604
